"","date","Airings","direct.net.home","direct.home","organic.net.home","organic.home","paid.brand.sessions"
"1",2013-09-01,0,462,450,563,247,NA
"2",2013-09-02,0,515,527,701,281,NA
"3",2013-09-03,0,862,454,717,330,NA
"4",2013-09-04,0,1211,298,701,308,NA
"5",2013-09-05,0,1228,253,727,239,NA
"6",2013-09-06,0,1063,240,629,281,NA
"7",2013-09-07,0,874,207,606,251,NA
"8",2013-09-08,0,927,211,709,288,NA
"9",2013-09-09,0,1085,273,779,310,NA
"10",2013-09-10,0,1102,267,727,317,NA
"11",2013-09-11,0,1056,371,625,299,NA
"12",2013-09-12,0,1090,573,744,356,NA
"13",2013-09-13,0,1037,536,706,310,NA
"14",2013-09-14,0,886,696,614,300,NA
"15",2013-09-15,0,942,659,754,342,NA
"16",2013-09-16,0,1067,811,793,387,NA
"17",2013-09-17,0,1126,755,810,376,NA
"18",2013-09-18,0,988,687,657,358,NA
"19",2013-09-19,0,1006,558,632,285,NA
"20",2013-09-20,0,747,682,623,277,NA
"21",2013-09-21,0,679,740,556,242,NA
"22",2013-09-22,0,594,598,691,301,NA
"23",2013-09-23,0,851,663,782,345,NA
"24",2013-09-24,0,818,703,687,359,NA
"25",2013-09-25,0,748,743,697,316,NA
"26",2013-09-26,0,782,719,697,335,NA
"27",2013-09-27,0,954,533,651,279,NA
"28",2013-09-28,0,917,210,723,187,NA
"29",2013-09-29,0,1016,224,804,202,NA
"30",2013-09-30,0,1028,325,885,282,NA
"31",2013-10-01,0,1086,269,870,293,NA
"32",2013-10-02,0,870,275,836,350,NA
"33",2013-10-03,0,650,301,805,381,NA
"34",2013-10-04,0,549,276,673,342,NA
"35",2013-10-05,0,428,214,664,305,NA
"36",2013-10-06,0,441,174,745,346,NA
"37",2013-10-07,0,577,384,954,480,NA
"38",2013-10-08,0,918,355,836,452,NA
"39",2013-10-09,0,1018,585,788,408,NA
"40",2013-10-10,0,513,579,739,427,NA
"41",2013-10-11,0,484,412,686,379,NA
"42",2013-10-12,0,333,324,740,361,NA
"43",2013-10-13,0,446,326,772,397,NA
"44",2013-10-14,0,557,385,952,473,NA
"45",2013-10-15,0,588,409,907,452,NA
"46",2013-10-16,0,600,481,857,450,NA
"47",2013-10-17,0,684,482,821,429,NA
"48",2013-10-18,0,634,302,776,426,NA
"49",2013-10-19,0,513,252,835,341,NA
"50",2013-10-20,0,515,232,1074,395,NA
"51",2013-10-21,0,569,386,1220,533,NA
"52",2013-10-22,0,587,346,1184,532,NA
"53",2013-10-23,0,632,308,1103,480,NA
"54",2013-10-24,0,815,348,974,492,NA
"55",2013-10-25,0,978,272,1012,395,NA
"56",2013-10-26,0,487,237,918,319,NA
"57",2013-10-27,0,471,219,1110,452,NA
"58",2013-10-28,0,557,358,1231,566,NA
"59",2013-10-29,0,565,312,1101,500,NA
"60",2013-10-30,0,557,291,971,440,NA
"61",2013-10-31,0,468,283,819,373,NA
"62",2013-11-01,0,437,235,847,311,NA
"63",2013-11-02,0,442,192,921,316,NA
"64",2013-11-03,0,424,275,1113,414,NA
"65",2013-11-04,0,657,328,1175,429,NA
"66",2013-11-05,0,567,338,1017,437,NA
"67",2013-11-06,0,766,334,991,418,NA
"68",2013-11-07,0,596,318,1005,422,NA
"69",2013-11-08,0,507,292,949,397,NA
"70",2013-11-09,0,400,243,1096,367,NA
"71",2013-11-10,0,426,239,1223,433,NA
"72",2013-11-11,0,546,397,1457,522,NA
"73",2013-11-12,0,702,380,1262,465,NA
"74",2013-11-13,0,732,343,1199,444,NA
"75",2013-11-14,0,1176,582,1130,440,NA
"76",2013-11-15,0,535,258,1048,404,NA
"77",2013-11-16,0,463,297,1125,372,NA
"78",2013-11-17,0,486,267,1345,432,NA
"79",2013-11-18,0,716,343,1295,488,NA
"80",2013-11-19,0,741,294,1203,433,NA
"81",2013-11-20,0,759,442,1250,408,NA
"82",2013-11-21,0,1014,394,1139,411,NA
"83",2013-11-22,0,574,363,1050,408,NA
"84",2013-11-23,0,455,248,1189,400,NA
"85",2013-11-24,0,560,257,1407,435,NA
"86",2013-11-25,0,4097,352,1435,450,NA
"87",2013-11-26,0,6072,332,1348,435,NA
"88",2013-11-27,0,544,338,1101,338,NA
"89",2013-11-28,0,582,146,1040,201,NA
"90",2013-11-29,0,615,239,1471,273,NA
"91",2013-11-30,0,531,171,1580,282,NA
"92",2013-12-01,0,609,226,1616,344,NA
"93",2013-12-02,0,728,453,1516,484,NA
"94",2013-12-03,0,621,371,1406,429,NA
"95",2013-12-04,0,626,373,1422,405,NA
"96",2013-12-05,0,753,391,1260,436,NA
"97",2013-12-06,0,630,325,1186,339,NA
"98",2013-12-07,0,552,233,1309,350,NA
"99",2013-12-08,0,664,244,1553,376,NA
"100",2013-12-09,0,758,388,1476,444,NA
"101",2013-12-10,0,605,367,1426,412,NA
"102",2013-12-11,0,921,392,1300,406,NA
"103",2013-12-12,0,687,390,1207,415,NA
"104",2013-12-13,0,751,309,1160,369,NA
"105",2013-12-14,0,602,300,1162,319,NA
"106",2013-12-15,0,664,239,1478,363,NA
"107",2013-12-16,0,832,390,1474,391,NA
"108",2013-12-17,0,747,290,1348,373,NA
"109",2013-12-18,0,702,328,1296,358,NA
"110",2013-12-19,0,754,251,1197,336,NA
"111",2013-12-20,0,545,234,1162,289,NA
"112",2013-12-21,0,588,230,1383,299,NA
"113",2013-12-22,0,588,208,1561,273,NA
"114",2013-12-23,0,670,279,1456,307,NA
"115",2013-12-24,0,580,159,1107,145,NA
"116",2013-12-25,0,550,110,1241,130,NA
"117",2013-12-26,0,923,235,1748,226,NA
"118",2013-12-27,0,825,186,1576,204,NA
"119",2013-12-28,0,772,155,1551,185,NA
"120",2013-12-29,0,633,150,1715,212,NA
"121",2013-12-30,0,681,237,1576,302,NA
"122",2013-12-31,0,523,198,1086,261,NA
"123",2014-01-01,0,632,193,1437,285,NA
"124",2014-01-02,0,697,305,1742,402,NA
"125",2014-01-03,0,727,308,1546,344,NA
"126",2014-01-04,0,555,223,1452,311,NA
"127",2014-01-05,0,667,262,1643,307,NA
"128",2014-01-06,0,730,354,1589,382,NA
"129",2014-01-07,0,687,298,1521,386,NA
"130",2014-01-08,0,664,274,1455,376,NA
"131",2014-01-09,0,739,275,1411,329,NA
"132",2014-01-10,0,664,240,1287,290,NA
"133",2014-01-11,0,585,242,1492,307,NA
"134",2014-01-12,0,629,229,1602,330,NA
"135",2014-01-13,0,756,310,1591,379,NA
"136",2014-01-14,0,761,316,1608,378,NA
"137",2014-01-15,0,994,302,1439,364,NA
"138",2014-01-16,0,694,298,1426,359,NA
"139",2014-01-17,0,697,303,1324,339,NA
"140",2014-01-18,0,644,209,1454,314,NA
"141",2014-01-19,0,589,217,1756,312,NA
"142",2014-01-20,0,669,314,1878,411,NA
"143",2014-01-21,0,725,345,1770,401,NA
"144",2014-01-22,0,868,328,1659,403,NA
"145",2014-01-23,0,686,347,1477,466,NA
"146",2014-01-24,0,643,318,1553,352,NA
"147",2014-01-25,0,617,294,1623,342,NA
"148",2014-01-26,0,615,254,1780,322,NA
"149",2014-01-27,0,738,402,1777,459,NA
"150",2014-01-28,0,929,365,1850,428,NA
"151",2014-01-29,0,853,366,1740,400,NA
"152",2014-01-30,0,784,327,1584,353,NA
"153",2014-01-31,0,655,323,1595,364,NA
"154",2014-02-01,0,650,272,1813,348,NA
"155",2014-02-02,0,684,255,1739,332,NA
"156",2014-02-03,0,791,334,1933,437,NA
"157",2014-02-04,0,928,355,1824,427,NA
"158",2014-02-05,0,686,309,1818,408,NA
"159",2014-02-06,0,1337,345,1623,440,NA
"160",2014-02-07,0,1532,317,1533,364,NA
"161",2014-02-08,0,640,250,1803,374,NA
"162",2014-02-09,0,747,245,1955,399,NA
"163",2014-02-10,0,941,350,1849,460,NA
"164",2014-02-11,0,939,358,1817,384,NA
"165",2014-02-12,0,914,316,1707,377,NA
"166",2014-02-13,0,725,306,1673,398,NA
"167",2014-02-14,0,624,340,1428,454,NA
"168",2014-02-15,0,683,278,1806,387,NA
"169",2014-02-16,0,592,260,2016,433,NA
"170",2014-02-17,0,934,376,2160,481,NA
"171",2014-02-18,0,741,352,1866,455,NA
"172",2014-02-19,0,695,341,1757,398,NA
"173",2014-02-20,0,749,319,1588,377,NA
"174",2014-02-21,0,868,309,1552,394,NA
"175",2014-02-22,0,566,224,1509,335,NA
"176",2014-02-23,0,616,224,1738,354,NA
"177",2014-02-24,0,753,351,1811,406,NA
"178",2014-02-25,0,759,285,1682,397,NA
"179",2014-02-26,0,692,302,1577,401,NA
"180",2014-02-27,0,818,262,1459,310,NA
"181",2014-02-28,0,598,255,1449,300,NA
"182",2014-03-01,0,635,147,1645,252,NA
"183",2014-03-02,0,630,187,1933,269,NA
"184",2014-03-03,0,749,251,1878,325,NA
"185",2014-03-04,0,808,236,1768,326,NA
"186",2014-03-05,0,830,268,1674,331,NA
"187",2014-03-06,0,634,304,1492,382,NA
"188",2014-03-07,0,569,258,1369,346,NA
"189",2014-03-08,0,703,253,1520,349,NA
"190",2014-03-09,0,1272,210,1648,299,NA
"191",2014-03-10,0,843,347,1713,376,NA
"192",2014-03-11,0,729,301,1664,361,NA
"193",2014-03-12,0,746,303,1507,345,NA
"194",2014-03-13,0,841,285,1469,365,NA
"195",2014-03-14,0,649,303,1332,281,NA
"196",2014-03-15,0,503,219,1385,301,NA
"197",2014-03-16,0,501,206,1675,274,NA
"198",2014-03-17,0,665,328,1701,341,NA
"199",2014-03-18,0,662,301,1614,344,NA
"200",2014-03-19,0,675,299,1472,363,NA
"201",2014-03-20,0,1496,281,1462,335,NA
"202",2014-03-21,0,2143,270,1387,304,NA
"203",2014-03-22,0,1697,265,1492,277,NA
"204",2014-03-23,0,669,237,1597,322,NA
"205",2014-03-24,0,704,304,1510,326,NA
"206",2014-03-25,0,760,325,1342,348,NA
"207",2014-03-26,0,1001,319,1293,334,NA
"208",2014-03-27,0,1138,387,1306,311,NA
"209",2014-03-28,0,5379,323,1209,308,NA
"210",2014-03-29,0,1199,293,1381,303,NA
"211",2014-03-30,0,840,229,1488,303,NA
"212",2014-03-31,0,748,312,1436,357,NA
"213",2014-04-01,0,765,300,1379,350,NA
"214",2014-04-02,0,826,300,1456,336,NA
"215",2014-04-03,0,639,282,1348,313,NA
"216",2014-04-04,0,657,252,1359,278,NA
"217",2014-04-05,0,533,245,1524,265,NA
"218",2014-04-06,0,658,204,1582,286,NA
"219",2014-04-07,0,1173,355,1683,341,NA
"220",2014-04-08,0,746,287,1556,355,NA
"221",2014-04-09,0,647,300,1431,331,NA
"222",2014-04-10,0,630,686,1289,333,NA
"223",2014-04-11,0,870,314,1236,263,NA
"224",2014-04-12,0,628,217,1231,262,NA
"225",2014-04-13,0,538,230,1538,279,NA
"226",2014-04-14,0,990,299,1657,334,NA
"227",2014-04-15,0,714,262,1575,300,NA
"228",2014-04-16,0,600,309,1423,308,NA
"229",2014-04-17,0,633,248,1423,303,NA
"230",2014-04-18,0,552,250,1358,277,NA
"231",2014-04-19,0,449,178,1429,239,NA
"232",2014-04-20,0,425,183,1396,225,NA
"233",2014-04-21,0,1012,299,1734,338,NA
"234",2014-04-22,0,863,303,1555,293,NA
"235",2014-04-23,0,781,284,1569,292,NA
"236",2014-04-24,0,650,299,1698,323,NA
"237",2014-04-25,0,918,275,1404,301,NA
"238",2014-04-26,0,586,238,1512,287,NA
"239",2014-04-27,0,560,229,1682,269,NA
"240",2014-04-28,0,809,310,1819,338,NA
"241",2014-04-29,0,1037,308,1784,341,NA
"242",2014-04-30,0,790,270,1672,290,NA
"243",2014-05-01,0,781,252,1498,259,NA
"244",2014-05-02,0,541,274,1399,261,NA
"245",2014-05-03,0,617,204,1466,210,NA
"246",2014-05-04,0,568,209,1769,242,NA
"247",2014-05-05,0,818,309,1790,319,NA
"248",2014-05-06,0,706,279,1648,325,NA
"249",2014-05-07,0,896,290,1533,303,NA
"250",2014-05-08,0,647,258,1378,282,NA
"251",2014-05-09,2,720,651,1570,431,NA
"252",2014-05-10,2,592,547,1626,386,NA
"253",2014-05-11,0,584,254,1636,279,NA
"254",2014-05-12,6,710,414,1802,364,NA
"255",2014-05-13,24,693,509,1701,405,NA
"256",2014-05-14,26,675,526,1554,379,NA
"257",2014-05-15,26,667,485,1763,403,NA
"258",2014-05-16,30,1132,791,1616,444,NA
"259",2014-05-17,20,1032,313,1483,277,NA
"260",2014-05-18,20,665,876,1806,467,NA
"261",2014-05-19,28,879,567,2012,413,NA
"262",2014-05-20,38,1154,707,1819,419,NA
"263",2014-05-21,50,2907,675,1713,417,NA
"264",2014-05-22,32,1425,509,1671,362,NA
"265",2014-05-23,40,956,473,1466,363,NA
"266",2014-05-24,42,1119,959,1597,520,NA
"267",2014-05-25,46,1018,912,1686,448,NA
"268",2014-05-26,52,935,850,1883,529,NA
"269",2014-05-27,46,938,573,1903,432,NA
"270",2014-05-28,40,875,550,1855,389,NA
"271",2014-05-29,38,864,787,1808,450,NA
"272",2014-05-30,42,1081,669,1791,428,NA
"273",2014-05-31,32,767,511,1734,372,NA
"274",2014-06-01,44,789,717,2029,433,NA
"275",2014-06-02,30,823,661,1989,475,NA
"276",2014-06-03,58,891,723,1991,507,NA
"277",2014-06-04,50,949,971,2151,535,NA
"278",2014-06-05,44,878,741,1964,499,NA
"279",2014-06-06,36,729,580,1761,375,NA
"280",2014-06-07,22,618,365,1754,291,NA
"281",2014-06-08,26,701,568,2089,394,NA
"282",2014-06-09,42,829,479,2121,465,NA
"283",2014-06-10,66,874,760,2134,456,NA
"284",2014-06-11,38,868,560,2050,429,NA
"285",2014-06-12,28,779,377,1860,359,NA
"286",2014-06-13,14,689,315,1498,330,NA
"287",2014-06-14,12,559,544,1362,340,NA
"288",2014-06-15,36,636,493,1586,374,NA
"289",2014-06-16,34,790,493,1909,433,NA
"290",2014-06-17,36,909,612,1779,443,NA
"291",2014-06-18,38,974,452,1684,400,NA
"292",2014-06-19,30,712,407,1492,386,NA
"293",2014-06-20,30,996,645,1426,372,NA
"294",2014-06-21,16,1289,427,1422,335,NA
"295",2014-06-22,28,1100,399,1759,312,NA
"296",2014-06-23,40,901,508,1851,469,NA
"297",2014-06-24,42,909,517,1818,402,NA
"298",2014-06-25,36,1016,728,1656,439,NA
"299",2014-06-26,20,714,448,1275,304,NA
"300",2014-06-27,30,765,371,1306,285,NA
"301",2014-06-28,16,536,301,1239,248,NA
"302",2014-06-29,38,773,942,1548,404,NA
"303",2014-06-30,30,1072,501,1668,382,NA
"304",2014-07-01,28,980,852,1826,533,NA
"305",2014-07-02,62,1036,906,1857,509,NA
"306",2014-07-03,64,896,817,1715,513,NA
"307",2014-07-04,36,863,1689,1732,880,NA
"308",2014-07-05,60,846,851,1669,428,NA
"309",2014-07-06,80,950,914,2063,497,NA
"310",2014-07-07,42,1184,979,2323,637,NA
"311",2014-07-08,56,1247,1869,2316,727,NA
"312",2014-07-09,56,1183,1133,2142,477,NA
"313",2014-07-10,42,2823,2119,2149,718,NA
"314",2014-07-11,44,1461,1744,2062,743,NA
"315",2014-07-12,52,1090,1281,1834,369,NA
"316",2014-07-13,44,967,1394,2134,413,NA
"317",2014-07-14,42,1186,1883,2352,625,NA
"318",2014-07-15,40,1374,2007,2307,599,NA
"319",2014-07-16,46,1105,1477,2146,456,NA
"320",2014-07-17,32,1049,1724,1894,521,NA
"321",2014-07-18,32,993,941,1903,499,NA
"322",2014-07-19,54,978,900,1965,538,NA
"323",2014-07-20,36,1078,1101,2144,634,NA
"324",2014-07-21,40,1526,3254,2650,1003,NA
"325",2014-07-22,52,1397,2784,2345,710,NA
"326",2014-07-23,38,2097,2179,2135,506,NA
"327",2014-07-24,42,1137,2127,2178,605,NA
"328",2014-07-25,30,1285,2644,1954,484,NA
"329",2014-07-26,58,988,2459,1820,393,NA
"330",2014-07-27,38,897,2459,2098,484,NA
"331",2014-07-28,50,1267,3193,2543,686,NA
"332",2014-07-29,58,1249,921,2361,547,NA
"333",2014-07-30,56,1319,1171,2322,640,NA
"334",2014-07-31,38,1514,910,2047,547,NA
"335",2014-08-01,26,1053,803,2133,482,NA
"336",2014-08-02,38,1037,1163,2032,690,NA
"337",2014-08-03,58,1264,1862,2589,948,NA
"338",2014-08-04,45,1333,822,2470,580,NA
"339",2014-08-05,48,1231,795,2329,554,867
"340",2014-08-06,44,1354,1602,2329,583,866
"341",2014-08-07,54,2207,2458,2399,856,1442
"342",2014-08-08,31,1472,1558,2102,610,1005
"343",2014-08-09,44,1068,1551,2294,667,1089
"344",2014-08-10,64,1344,1926,2685,770,1427
"345",2014-08-11,56,1491,1607,2624,742,1244
"346",2014-08-12,54,1328,1397,2486,630,1097
"347",2014-08-13,46,1117,1095,2269,458,790
"348",2014-08-14,36,1196,1414,2182,505,888
"349",2014-08-15,42,2359,2082,2221,680,1225
"350",2014-08-16,44,1216,2133,2267,614,1098
"351",2014-08-17,46,1083,2349,2491,605,1188
"352",2014-08-18,52,1153,2238,2747,524,1038
"353",2014-08-19,54,2857,2409,2523,663,1184
"354",2014-08-20,50,1596,2119,2432,546,1124
"355",2014-08-21,36,1267,1867,2247,495,892
"356",2014-08-22,40,1448,2023,2381,626,1094
"357",2014-08-23,74,1642,3702,3187,1166,2257
"358",2014-08-24,62,1604,2265,2879,707,1539
"359",2014-08-25,66,2886,1765,2767,742,1345
"360",2014-08-26,82,2046,2127,2886,849,1640
"361",2014-08-27,90,1742,2499,2795,778,1625
"362",2014-08-28,48,1623,2344,2554,669,1348
"363",2014-08-29,62,1426,1850,2246,589,1197
"364",2014-08-30,88,1297,2083,2540,763,1492
"365",2014-08-31,80,1973,4461,3962,1535,3328
"366",2014-09-01,80,2127,2216,3340,813,1836
"367",2014-09-02,100,1777,1627,2898,604,1364
"368",2014-09-03,94,1769,2719,3189,962,2166
"369",2014-09-04,96,1864,2161,2987,851,1833
"370",2014-09-05,56,1705,1913,2716,762,1554
"371",2014-09-06,86,1572,2053,2890,712,1686
"372",2014-09-07,94,1743,2655,3480,1006,2179
"373",2014-09-08,64,1847,1837,3142,774,1651
"374",2014-09-09,72,1859,1998,3061,776,1617
"375",2014-09-10,66,1751,1723,2872,711,1488
"376",2014-09-11,64,2076,1544,2685,644,1411
"377",2014-09-12,54,2027,1650,2343,584,1289
"378",2014-09-13,84,1840,2731,3251,1051,2175
"379",2014-09-14,70,1672,1920,3011,703,1606
"380",2014-09-15,56,1698,1931,2976,841,1626
"381",2014-09-16,74,1853,1680,2748,722,1356
"382",2014-09-17,62,1781,1397,2426,633,1261
"383",2014-09-18,52,1427,1309,2286,579,1139
"384",2014-09-19,34,2311,1221,2120,513,985
"385",2014-09-20,86,2441,3837,3096,1462,2799
"386",2014-09-21,72,2017,2009,3077,899,1635
"387",2014-09-22,66,1852,2203,3073,923,1842
"388",2014-09-23,76,1624,1735,2685,714,1420
"389",2014-09-24,56,1767,1754,2523,701,1395
"390",2014-09-25,52,2276,1329,2358,607,1066
"391",2014-09-26,56,1601,1307,2181,547,979
"392",2014-09-27,80,1518,2437,2552,959,1851
"393",2014-09-28,54,1905,1530,2817,576,1343
"394",2014-09-29,56,2858,1189,3273,505,1680
"395",2014-09-30,66,2801,2001,3229,798,1967
"396",2014-10-01,44,1739,1817,2577,701,1450
"397",2014-10-02,34,1677,1425,2439,656,1093
"398",2014-10-03,24,1621,1358,2187,532,913
"399",2014-10-04,64,1995,2911,2757,1097,2004
"400",2014-10-05,52,2071,2404,3187,1000,1884
"401",2014-10-06,50,1778,1835,2932,845,1431
"402",2014-10-07,54,1792,1719,2870,779,1413
